/Users/gangtao.zhou/py_project/qute/mose/monitor/stock_manager.py:42: UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
  self.monitored_stocks = pd.read_sql_query(query, conn)
2025-04-21 20:52:24,110 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:53:24,112 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:53:50,633 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:54:24,115 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:55:24,117 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:56:24,164 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:57:24,174 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:58:24,180 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:58:51,515 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:59:24,184 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:00:24,186 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:01:24,193 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:02:24,199 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:03:24,205 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:03:52,337 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 21:04:24,211 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:05:24,218 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:06:24,221 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:07:24,229 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:08:24,231 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:08:53,161 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 21:09:24,237 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:10:24,239 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:11:24,245 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:12:24,251 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:13:24,256 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:13:53,956 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 21:14:24,262 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:15:24,264 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:16:24,268 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:17:24,273 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:18:24,275 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:18:54,582 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 21:19:24,279 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:20:24,288 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:21:24,298 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:22:24,306 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:23:24,309 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:23:55,250 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 21:24:24,320 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:25:24,329 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:26:24,334 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:27:24,337 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:28:24,346 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:28:55,829 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 21:29:24,353 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:30:24,363 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:31:24,374 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:32:24,384 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:33:24,394 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:33:56,488 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 21:34:24,406 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:35:24,417 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:36:24,422 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 21:37:24,435 - monitor.stock_monitor - INFO - 警报已清除
